Date,Open,High,Low,Close
2024-05-06,38920.00,39028.00,38834.00,38997.00
2024-05-07,38985.00,39127.00,38976.00,39027.00
2024-05-08,39016.00,39236.00,38936.00,39195.00
2024-05-09,39198.00,39592.00,39086.00,39536.00
2024-05-10,39562.00,39718.00,39531.00,39642.00
2024-05-11,39618.00,39618.00,39618.00,39618.00
2024-05-13,39620.00,39781.00,39519.00,39559.00
2024-05-14,39542.00,39736.00,39405.00,39677.00
2024-05-15,39680.00,40063.00,39652.00,40039.00
2024-05-16,40016.00,40191.00,39979.00,40010.00
2024-05-17,39995.00,40147.00,39955.00,40137.00
2024-05-18,40134.00,40134.00,40134.00,40134.00
2024-05-20,40133.00,40213.00,39919.00,39944.00
2024-05-21,39946.00,40034.00,39907.00,40006.00
2024-05-22,39992.00,40033.00,39668.00,39783.00
2024-05-23,39730.00,39882.00,39114.00,39153.00
2024-05-24,39143.00,39315.00,39105.00,39157.00
2024-05-26,39163.00,39169.00,39109.00,39119.00
2024-05-27,39120.00,39231.00,39095.00,39180.00
2024-05-28,39163.00,39235.00,38787.00,38944.00
2024-05-29,38920.00,38920.00,38221.00,38524.00
2024-05-30,38268.00,38312.00,38111.00,38231.00
2024-05-31,38225.00,38858.00,38139.00,38791.00
2024-06-03,38824.00,38919.00,38333.00,38656.00
2024-06-04,38666.00,38878.00,38425.00,38787.00
2024-06-05,38801.00,38937.00,38628.00,38884.00
2024-06-06,38884.00,39092.00,38808.00,38955.00
2024-06-07,38955.00,39174.00,38716.00,38857.00
2024-06-10,39246.00,39353.00,39125.00,39339.00
2024-06-11,39316.00,39346.00,38891.00,39201.00
2024-06-12,39189.00,39607.00,39069.00,39161.00
2024-06-13,39142.00,39181.00,38837.00,39078.00
2024-06-14,39045.00,39068.00,38701.00,39009.00
2024-06-17,38965.00,39301.00,38855.00,39232.00
2024-06-18,39288.00,39390.00,39173.00,39287.00
2024-06-19,39290.00,39293.00,39195.00,39222.00
2024-06-20,39275.00,39687.00,39195.00,39575.00
2024-06-21,39575.00,39687.00,39476.00,39583.00
2024-06-22,39586.00,39586.00,39586.00,39586.00
2024-06-24,39589.00,39999.00,39463.00,39844.00
2024-06-25,39849.00,39928.00,39393.00,39526.00
2024-06-26,39484.00,39586.00,39306.00,39540.00
2024-06-27,39500.00,39651.00,39389.00,39550.00
2024-06-28,39502.00,39819.00,39284.00,39469.00
2024-06-29,39524.00,39524.00,39524.00,39524.00
2024-07-01,39560.00,39805.00,39385.00,39511.00
2024-07-02,39498.00,39694.00,39338.00,39688.00
2024-07-03,39662.00,39763.00,39568.00,39636.00
2024-07-04,39662.00,39779.00,39624.00,39650.00
2024-07-05,39643.00,39781.00,39488.00,39695.00
2024-07-08,39670.00,40006.00,39595.00,39650.00
2024-07-09,39670.00,39818.00,39450.00,39596.00
2024-07-10,39600.00,40067.00,39558.00,40049.00
2024-07-11,40013.00,40200.00,39937.00,40089.00
2024-07-12,40121.00,40572.00,40021.00,40301.00
2024-07-13,40325.00,40325.00,40325.00,40325.00
2024-07-15,40390.00,40654.00,40338.00,40514.00
2024-07-16,40548.00,41299.00,40457.00,41255.00
2024-07-17,41248.00,41546.00,41095.00,41497.00
2024-07-18,41538.00,41672.00,40886.00,40958.00
2024-07-19,40963.00,41006.00,40466.00,40562.00
2024-07-20,40550.00,40550.00,40550.00,40550.00
2024-07-22,40602.00,40747.00,40488.00,40693.00
2024-07-23,40683.00,40795.00,40567.00,40615.00
2024-07-24,40575.00,40583.00,40053.00,40110.00
2024-07-25,40208.00,40685.00,40055.00,40192.00
2024-07-26,40245.00,40995.00,40233.00,40831.00
2024-07-27,40852.00,40852.00,40852.00,40852.00
2024-07-29,40857.00,41051.00,40606.00,40771.00
2024-07-30,40776.00,41095.00,40647.00,40959.00
2024-07-31,40781.00,41427.00,40754.00,41073.00
2024-08-01,41111.00,41305.00,40285.00,40514.00
2024-08-02,40420.00,40450.00,39518.00,39879.00
2024-08-03,39755.00,39755.00,39755.00,39755.00
2024-08-05,39623.00,39750.00,38541.00,38848.00
2024-08-06,39017.00,39600.00,38760.00,39143.00
2024-08-07,39025.00,39619.00,38753.00,38905.00
2024-08-08,38815.00,39662.00,38689.00,39601.00
2024-08-09,39610.00,39770.00,39355.00,39640.00
2024-08-12,39618.00,39739.00,39366.00,39480.00
2024-08-13,39488.00,39923.00,39344.00,39889.00
2024-08-14,39889.00,40191.00,39786.00,40119.00
2024-08-15,40161.00,40721.00,40113.00,40683.00
2024-08-16,40703.00,40856.00,40546.00,40794.00
2024-08-19,40818.00,41052.00,40741.00,41020.00
2024-08-20,40993.00,41085.00,40875.00,40949.00
2024-08-21,40949.00,41097.00,40850.00,41006.00
2024-08-22,41015.00,41159.00,40684.00,40828.00
2024-08-23,40838.00,41307.00,40836.00,41270.00
2024-08-26,41274.00,41523.00,41229.00,41335.00
2024-08-27,41290.00,41390.00,41181.00,41356.00
2024-08-28,41355.00,41451.00,40920.00,41178.00
2024-08-29,41256.00,41682.00,41153.00,41439.00
2024-08-30,41480.00,41674.00,41231.00,41653.00
2024-09-03,41613.00,41658.00,40866.00,41018.00
2024-09-04,41019.00,41260.00,40849.00,41051.00
2024-09-05,41009.00,41162.00,40910.00,41012.00
